Date,TweetID,User,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
2025-01-12 14:10:45+00:00,1878444509786190247,tahaeez,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 5 https://t.co/JZu6FXj7LB",0,0,0,0
2025-01-12 14:10:39+00:00,1878444484746244250,tahaeez,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 4 https://t.co/JZu6FXj7LB",0,0,0,0
2025-01-12 14:10:34+00:00,1878444462310895654,tahaeez,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 3 https://t.co/JZu6FXj7LB",0,0,0,0
2025-01-12 14:10:31+00:00,1878444448947781917,qyd17509,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires  #SCPSLB #PSVAZ  #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
٤٤#سالم_بن_جديع https://t.co/ZzB3wgoKwx",0,0,0,0
2025-01-12 14:10:21+00:00,1878444407440953409,qyd17509,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires  #SCPSLB #PSVAZ  #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
١#سالم_بن_جديع https://t.co/ZzB3wgoKwx",0,0,0,0
2025-01-12 14:10:09+00:00,1878444356362801625,qyd17509,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires  #SCPSLB #PSVAZ  #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
٨#سالم_بن_جديع https://t.co/ZzB3wgoKwx",0,0,0,0
2025-01-12 14:09:18+00:00,1878444144416178343,qyd17509,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires  #SCPSLB #PSVAZ  #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 
6 https://t.co/ZzB3wgoKwx",0,0,0,0
2025-01-12 14:09:05+00:00,1878444089190019202,qyd17509,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires  #SCPSLB #PSVAZ  #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع
2 https://t.co/ZzB3wgpim5",0,0,0,0
2025-01-12 14:09:01+00:00,1878444071296872847,tahaeez,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 2 https://t.co/JZu6FXj7LB",0,0,0,0
2025-01-12 14:08:57+00:00,1878444055228555543,qyd17509,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires  #SCPSLB #PSVAZ  #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع https://t.co/ZzB3wgoKwx",0,0,0,0
